valorcontrato1;duracao_dias;fornecedor_num_contratos;fornecedor_valor_medio;fornecedor_num_orgaos;orgao_num_contratos;orgao_valor_medio;orgao_num_fornecedores;anomaly_if;anomaly_score_if;anomaly_lof;anomaly_score_lof
62612881.83;730.0;2;32123854.035;1;994;5290699.8067473015;304;1;-0.6161707483397316;0;-3.4805196214531997
149992063.2;1825.0;5;109553104.16;1;994;5290699.8067473015;304;1;-0.7021006910065564;0;-4.6860968571369295
18840293.85;1124.0;84;2462196.2268421054;7;994;5290699.8067473015;304;1;-0.578619050489818;0;-2.907926678619568
1464615.76;90.0;5;109553104.16;1;994;5290699.8067473015;304;1;-0.5708498737081142;0;-4.391974762555478
85232476.62;759.0;7;23159880.096;1;994;5290699.8067473015;304;1;-0.6123987584578089;0;-2.6261683723323177
38286283.02;365.0;7;23587490.755000003;1;994;5290699.8067473015;304;1;-0.5784225963037009;0;-1.7138992564056648
29902283.4;365.0;6;24518153.8125;3;994;5290699.8067473015;304;1;-0.5697257153316816;0;-2.2101860986211745
1248363.6;1428.0;177;1756316.0664233577;44;386;347776.97516666667;220;1;-0.6446927756270964;0;-2.118785882851519
2330954.4;1095.0;177;1756316.0664233577;44;386;347776.97516666667;220;1;-0.6454129080279751;0;-2.1159419401388218
3913356.04;365.0;84;2154521.333103448;40;1199;819590.5128311475;349;1;-0.6332440321138312;0;-1.344836916569012
20397600.0;364.0;36;1697528.6455555556;30;1199;819590.5128311475;349;1;-0.6131531239664109;0;-1.1614330236102541
29902283.4;425.0;6;24518153.8125;3;2;18518291.134999998;2;1;-0.6281563429503227;0;-1.1054164134428244
7801771.68;178.0;177;1756316.0664233577;44;522;2547351.533049412;320;1;-0.6600191102943029;0;-2.8554988834057737
87837770.9;608.0;6;40693833.84666667;3;522;2547351.533049412;320;1;-0.6230071950446169;0;-3.9232146509343053
47050021.43;183.0;2;81826015.31;2;522;2547351.533049412;320;1;-0.6287853335053631;1;-8.791798001700881
71269452.48;183.0;1;71269452.48;1;522;2547351.533049412;320;1;-0.634464982667951;1;-11.838430900853146
34028654.07;183.0;1;34028654.07;1;522;2547351.533049412;320;1;-0.5978393958464424;1;-26.81793447674043
375822720.0;364.0;47;14934285.374444446;18;29;13398175.099655172;22;1;-0.6554711532852335;1;-5.364653103987627
0.0;364.0;177;1756316.0664233577;44;8;589266.21885;5;1;-0.5876929894563682;0;-1.0250458164955312
1563034.44;365.0;177;1756316.0664233577;44;8;589266.21885;5;1;-0.606952496355746;0;-1.025133467953445
1980552.24;364.0;177;1756316.0664233577;44;8;589266.21885;5;1;-0.6096464539642059;0;-1.0251935223916688
586310.4;364.0;177;1756316.0664233577;44;8;589266.21885;5;1;-0.5952468144881784;0;-1.0250534806269527
31245058.42;2191.0;177;1756316.0664233577;44;82;1477278.9142327274;54;1;-0.6780063878358289;0;-1.8066140205730146
4738952.16;1825.0;177;1756316.0664233577;44;82;1477278.9142327274;54;1;-0.6380228431933711;0;-1.18026790867154
16869719.99;1917.0;177;1756316.0664233577;44;82;1477278.9142327274;54;1;-0.6550884110687617;0;-1.3565612761326216
40890000.0;1003.0;4;15740822.9025;3;45;2180513.832988889;41;1;-0.5779059722537563;0;-1.7377901605264956
283771.46;1826.0;84;2154521.333103448;40;45;2180513.832988889;41;1;-0.5891637432164801;0;-1.4702834712124706
293220.0;662184.0;48;788707.1702083334;29;239;2272039.6559724137;144;1;-0.5787814331035597;1;-169.56385559842983
129000000.0;1825.0;3;129000000.0;2;239;2272039.6559724137;144;1;-0.6877835658368956;0;-3.1125061232833815
657833.52;364.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.582636513406942;0;-1.8763410825816778
557935.2;365.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.585725880001378;0;-1.8763362027491546
30000000.0;730.0;1;30000000.0;1;105;1519516.8125194805;65;1;-0.5760370574609732;0;-2.0304658276254566
5551667.04;364.0;177;1756316.0664233577;44;105;1519516.8125194805;65;1;-0.5783088561144124;0;-0.9697199729285751
7984356.0;881.0;177;1756316.0664233577;44;109;517020.89158878505;76;1;-0.6048380259304988;0;-0.9778123261348929
32145.6;2039.0;177;1756316.0664233577;44;109;517020.89158878505;76;1;-0.6161406977609707;0;-1.185201430009885
2956508.76;1460.0;177;1756316.0664233577;44;109;517020.89158878505;76;1;-0.6169588498949199;0;-0.9986702326740369
466754.4;1460.0;177;1756316.0664233577;44;109;517020.89158878505;76;1;-0.5991903336590265;0;-0.9977942867545174
5303436.6;364.0;177;1756316.0664233577;44;109;517020.89158878505;76;1;-0.5751683434216596;0;-0.955490235517282
61522200.0;364.0;7;10516504.36;6;99;5190197.106541176;58;1;-0.5630827312789318;0;-2.3478084274964806
165998440.0;87.0;5;36053716.8;4;99;5190197.106541176;58;1;-0.6574790296078712;0;-2.682451469007276
91769.04;364.0;177;1756316.0664233577;44;99;5190197.106541176;58;1;-0.5633474676023773;0;-1.942263895358256
185762244.0;364.0;36;9997791.131538462;21;99;5190197.106541176;58;1;-0.6030693396003509;0;-3.8946966743487486
135334.08;364.0;177;1756316.0664233577;44;37;408388.35185185185;30;1;-0.5641897464208859;0;-0.9963974515422628
300960.0;365.0;59;221101.14921428572;34;146;163764141.82162738;108;1;-0.5755980404657058;0;-1.198749974841158
320270.94;364.0;48;788707.1702083334;29;146;163764141.82162738;108;1;-0.5701662322896366;0;-1.0432121461109385
0.0;365.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.6412144645947413;0;-2.733597150092928
6627008.05;183.0;64;8471801.304814814;18;146;163764141.82162738;108;1;-0.6125460865692037;0;-1.1274415568110925
2495142.35;365.0;19;543472.6978947368;16;146;163764141.82162738;108;1;-0.5617013140543811;0;-1.2184198484566722
252381.45;183.0;64;8471801.304814814;18;146;163764141.82162738;108;1;-0.5937866735885596;0;-1.12708680992108
0.0;275.0;84;2154521.333103448;40;146;163764141.82162738;108;1;-0.614927643492131;0;-1.566617427597937
1080693.6;364.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.642809920548934;0;-2.7335975360916978
80000.0;364.0;64;140469.7826;35;146;163764141.82162738;108;1;-0.5734340991220187;0;-1.2535579356033222
226940.76;364.0;36;9997791.131538462;21;146;163764141.82162738;108;1;-0.5875285685864591;0;-1.0018260725661174
71560.56;364.0;36;1697528.6455555556;30;146;163764141.82162738;108;1;-0.5654355016039595;0;-1.0319201069430637
712800.0;364.0;55;1005013.8316363636;30;146;163764141.82162738;108;1;-0.5735115635995709;0;-1.081586961798558
318600.0;363.0;59;221101.14921428572;34;146;163764141.82162738;108;1;-0.5718506061768938;0;-1.1987499961991441
142070.4;364.0;55;1005013.8316363636;30;146;163764141.82162738;108;1;-0.5679791065892831;0;-1.0815860922913254
0.0;365.0;36;9997791.131538462;21;146;163764141.82162738;108;1;-0.5922751305497627;0;-1.0018252354366037
2324269.36;364.0;52;322669.6701346154;36;146;163764141.82162738;108;1;-0.5836446799379379;0;-1.22500666164687
14631034.26;364.0;48;788707.1702083334;29;860;2325855.8773766733;529;1;-0.5658298308357068;0;-1.3494697225091532
36330558.12;364.0;1;36330558.12;1;860;2325855.8773766733;529;1;-0.6130162971881541;0;-2.3374972733981787
11701561.5;182.0;36;9997791.131538462;21;860;2325855.8773766733;529;1;-0.5807973762628051;0;-0.9947654068255313
2231740.8;364.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6460539908755512;0;-2.6502173900395194
40563388.08;547.0;36;9997791.131538462;21;860;2325855.8773766733;529;1;-0.6443367244748628;0;-0.9931610843629208
4778102.4;2195.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6929002385426782;0;-2.651695401546859
2979270.0;548.0;64;8471801.304814814;18;860;2325855.8773766733;529;1;-0.5717107533756453;0;-1.3894741187635886
3386012.63;1991.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6872973325883509;0;-2.651388124939248
0.0;364.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6334487264134313;0;-2.6503239179532505
426000.0;914.0;64;8471801.304814814;18;860;2325855.8773766733;529;1;-0.5865831797688047;0;-1.3910531945288167
0.0;364.0;177;1756316.0664233577;44;860;2325855.8773766733;529;1;-0.6334487264134313;0;-2.6503239179532505
